id,first_name,last_name,age,country_name,subscription,watch_time_hours,favourite_genre,last_access
1,NA,,18,NA,Premium,0,NA,12-May-24
0,NA,,27,NA,Premium,0,Sci-Fi,05-Feb-25
3,NA,,0,UK,NA,0,Comedy,NA
0,NA,,44,USA,NA,0,NA,25-Mar-24
0,NA,,68,USA,Standard,0,NA,14-Jan-25
0,NA,,0,USA,Standard,0,NA,03-Feb-25
7,John,Hernandez,27,NA,Standard,755,Romance,05-Jan-25
0,Katie,Hernandez,27,USA,Standard,222,NA,30-Oct-24
900,James,Williams,0,NA,NA,222,Action,16-Apr-24
10,NA,,0,Mexico,Standard,696,Horror,03-Jul-24
0,NA,,0,Japan,NA,290,NA,11-Sep-24
0,NA,,0,USA,Standard,490,Action,12-Jun-24
0,Alex,Martinez,65,Australia,Premium,0,Comedy,08-Aug-24
14,Alex,Smith,0,Germany,Premium,73,NA,NA
0,NA,,0,USA,Premium,0,Sci-Fi,NA
0,Chris,Miller,39,Australia,NA,0,Comedy,NA
1700,NA,,0,UK,NA,610,Drama,03-Jul-24
0,NA,,0,NA,NA,0,Documentary,08-Aug-24
0,Alex,Johnson,0,Brazil,Premium,0,NA,08-Aug-24
0,John,Jones,27,Canada,Standard,0,Comedy,07-Dec-24
0,Michael,Williams,47,NA,Standard,637,NA,21-Jan-25
22,James,Martinez,46,UK,Premium,620,NA,19-Apr-24
0,NA,,0,NA,NA,0,Drama,NA
2400,John,Smith,0,UK,Basic,222,NA,NA
25,Alex,Brown,37,Canada,Basic,418,Horror,26-May-24
0,Chris,Johnson,0,Brazil,Premium,0,NA,23-Aug-24
0,James,Jones,17,Mexico,Standard,253,Documentary,29-Sep-24
0,Michael,Johnson,27,NA,Premium,0,NA,NA
0,Michael,Johnson,0,Mexico,Basic,222,Drama,03-Nov-24
0,Sarah,Smith,67,Australia,Basic,0,Action,11-Feb-25
0,Chris,Jones,14,Germany,Premium,0,Drama,06-Aug-24
0,NA,,27,Canada,Standard,0,NA,01-Feb-25
0,NA,,0,NA,NA,67,Sci-Fi,21-Jul-24
0,David,Davis,56,NA,NA,835,Documentary,11-Jul-24
0,Emma,Hernandez,0,NA,Basic,222,Sci-Fi,04-Dec-24
36,NA,,26,UK,NA,0,Comedy,NA
37,Sarah,Williams,64,NA,NA,0,NA,NA
0,NA,,27,NA,Premium,0,NA,NA
39,Emma,Smith,27,USA,NA,222,NA,NA
40,Sarah,Hernandez,15,NA,NA,222,NA,30-Apr-24
0,NA,,0,Germany,Standard,404,Romance,NA
